I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
2,16.2,72,4,4.41,18,24.5,0,0,7,1,63,Tactics and Strategy
9,71,385,14,5.42,27.5,30.43,0,1,50,5,259,Technical Skills
3,8,54,2,6.75,27,24,0,0,7,1,30,Technical Skills
4,33.1,166,3,5.01,55.33,66.33,0,0,11,2,94,Tactics and Strategy
2,14,75,1,5.36,75,84,0,0,8,0,42,Tactics and Strategy
9,47.2,234,5,4.94,46.8,56.8,0,0,12,8,140,Tactics and Strategy
14,83.3,422,13,5.05,32.46,38.54,0,1,35,8,276,Tactics and Strategy
7,44,323,9,7.34,35.89,29.33,1,0,28,7,101,Technical Skills
24,177.4,978,31,5.5,31.55,34.39,1,0,118,11,605,Technical Skills
16,96.2,546,13,5.67,42,44.46,0,0,56,9,338,Technical Skills
2,12.3,85,0,6.8,0,0,0,0,9,2,36,Technical Skills
5,35,129,2,3.69,64.5,105,0,0,9,2,133,Tactics and Strategy
3,25,106,4,4.24,26.5,37.5,0,0,11,0,83,Tactics and Strategy
4,31,170,5,5.48,34,37.2,0,0,21,3,122,Tactics and Strategy
9,66,291,7,4.41,41.57,56.57,0,0,33,0,265,Tactics and Strategy
9,78.2,525,21,6.7,25,22.38,1,1,64,8,242,Technical Skills
6,32.1,135,5,4.2,27,38.6,0,0,6,3,109,Tactics and Strategy
3,23,94,5,4.09,18.8,27.6,0,0,13,0,89,Tactics and Strategy
4,30,133,4,4.43,33.25,45,0,0,10,1,93,Tactics and Strategy
2,13,93,3,7.15,31,26,0,0,6,7,45,Technical Skills
10,80,536,14,6.7,38.29,34.29,0,0,53,16,264,Technical Skills
6,47,256,2,5.45,128,141,0,0,11,7,124,Tactics and Strategy
9,85,385,14,4.53,27.5,36.43,0,0,44,6,333,Tactics and Strategy
3,10,72,2,7.2,36,30,0,0,5,1,19,Technical Skills
9,67.1,373,13,5.55,28.69,31,0,0,31,7,210,Technical Skills
2,9,31,2,3.44,15.5,27,0,0,2,0,31,Tactics and Strategy
2,1.3,12,0,8,0,0,0,0,0,1,3,Technical Skills
3,17,106,1,6.24,106,102,0,0,13,3,60,Technical Skills
6,51,259,11,5.08,23.55,27.82,0,0,30,5,185,Tactics and Strategy
13,74,378,9,5.11,42,49.33,0,0,32,7,230,Tactics and Strategy
1,2,32,0,16,0,0,0,0,0,4,3,Technical Skills
31,281.3,1168,36,4.15,32.44,46.92,2,0,57,19,921,Technical Skills
6,17.1,145,6,8.45,24.17,17.17,0,0,13,6,44,Technical Skills
14,62,371,5,5.98,74.2,74.4,0,0,26,13,170,Technical Skills
3,29.2,196,2,6.68,98,88,0,0,20,6,80,Technical Skills
3,15,126,1,8.4,126,90,0,0,16,3,38,Technical Skills
1,4,21,0,5.25,0,0,0,0,3,0,13,Tactics and Strategy
6,30,138,5,4.6,27.6,36,0,0,11,2,99,Tactics and Strategy
3,21,117,1,5.57,117,126,0,0,14,1,84,Technical Skills
7,36,137,6,3.81,22.83,36,0,0,9,1,120,Tactics and Strategy
1,0.5,5,0,6,0,0,0,0,0,0,1,Technical Skills
8,50.1,265,6,5.28,44.17,50.17,0,0,27,2,164,Tactics and Strategy
12,93.4,498,16,5.32,31.12,35.12,0,0,56,5,312,Technical Skills
14,115,538,23,4.68,23.39,30,0,1,51,13,441,Technical Skills
10,43.3,268,7,6.16,38.29,37.29,0,0,25,8,155,Technical Skills
